Date,Time,Irradiance
12/25/2024,4:04:20,500.2
12/25/2024,4:14:20,340.5
12/25/2024,4:24:20,255.5
12/25/2024,4:34:20,419.3
12/25/2024,4:44:20,409.2
12/25/2024,4:54:20,472.8
12/25/2024,5:04:20,431.9
12/25/2024,5:14:20,592.9
12/25/2024,5:24:20,465.0
12/25/2024,5:34:20,589.1
12/25/2024,5:44:20,594.4
12/25/2024,5:54:20,694.8
12/25/2024,6:04:20,562.9
12/25/2024,6:14:20,476.3
12/25/2024,6:24:20,537.2
12/25/2024,6:34:20,646.2
12/25/2024,6:44:20,573.7
12/25/2024,6:54:20,631.8
12/25/2024,7:04:20,479.0
12/25/2024,7:14:20,437.8
12/25/2024,7:24:20,302.0
12/25/2024,7:34:20,261.7
12/25/2024,7:44:20,223.4
12/25/2024,7:54:20,196.8
12/25/2024,8:04:20,182.1
12/25/2024,8:14:20,191.5
12/25/2024,8:24:20,247.6
12/25/2024,8:34:20,320.3
12/25/2024,8:44:20,287.5
12/25/2024,8:54:20,305.4
12/25/2024,9:04:20,298.8
12/25/2024,9:14:20,382.0
12/25/2024,9:24:20,191.2
12/25/2024,9:34:20,257.5
12/25/2024,9:44:20,201.4
12/25/2024,9:54:20,190.2
12/25/2024,10:04:20,152.9
12/25/2024,10:14:20,072.6
12/25/2024,10:24:20,051.4
12/25/2024,10:34:20,034.3
12/25/2024,10:44:20,016.2
12/25/2024,10:54:20,006.4
12/25/2024,11:04:20,001.7
12/25/2024,11:14:20,000.2
12/25/2024,11:24:20,000.1
12/25/2024,11:34:20,000.1
12/25/2024,11:44:20,000.1
12/25/2024,11:54:20,000.1
12/25/2024,12:04:20,000.1
12/25/2024,12:14:20,000.1
12/25/2024,12:24:20,000.1
12/25/2024,12:34:20,000.1
12/25/2024,12:44:20,000.1
12/25/2024,12:54:20,000.1
12/25/2024,13:04:20,000.1
12/25/2024,13:14:20,000.1
12/25/2024,13:24:20,000.1
12/25/2024,13:34:20,000.1
12/25/2024,13:44:20,000.1
12/25/2024,13:54:20,000.1
12/25/2024,14:04:20,000.1
12/25/2024,14:14:20,000.1
12/25/2024,14:24:20,000.1
12/25/2024,14:34:20,000.1
12/25/2024,14:44:20,000.1
12/25/2024,14:54:20,000.1
12/25/2024,15:04:20,000.1
12/25/2024,15:14:20,000.1
12/25/2024,15:24:20,000.1
12/25/2024,15:34:20,000.1
12/25/2024,15:44:20,000.1
12/25/2024,15:54:20,000.1
12/25/2024,16:04:20,000.1
12/25/2024,16:14:20,000.1
12/25/2024,16:24:20,000.1
12/25/2024,16:34:20,000.1
12/25/2024,16:44:20,000.1
12/25/2024,16:54:20,000.1
12/25/2024,17:04:20,000.1
12/25/2024,17:14:20,000.1
12/25/2024,17:24:20,000.1
12/25/2024,17:34:20,000.1
12/25/2024,17:44:20,000.1
12/25/2024,17:54:20,000.1
12/25/2024,18:04:20,000.1
12/25/2024,18:14:20,000.1
12/25/2024,18:24:20,000.1
12/25/2024,18:34:20,000.1
12/25/2024,18:44:20,000.1
12/25/2024,18:54:20,000.1
12/25/2024,19:04:20,000.1
12/25/2024,19:14:20,000.1
12/25/2024,19:24:20,000.1
12/25/2024,19:34:20,000.1
12/25/2024,19:44:20,000.1
12/25/2024,19:54:20,000.1
12/25/2024,20:04:20,000.1
12/25/2024,20:14:20,000.1
12/25/2024,20:24:20,000.1
12/25/2024,20:34:20,000.1
