Date,Time,Irradiance
12/28/2024,0:04:20,078.9
12/28/2024,0:14:20,101.6
12/28/2024,0:24:20,125.8
12/28/2024,0:34:20,149.3
12/28/2024,0:44:20,197.7
12/28/2024,0:54:20,252.2
12/28/2024,1:04:20,264.1
12/28/2024,1:14:20,191.0
12/28/2024,1:24:20,228.4
12/28/2024,1:34:20,468.6
12/28/2024,1:44:20,485.8
12/28/2024,1:54:20,538.9
12/28/2024,2:04:20,574.4
12/28/2024,2:14:20,601.1
12/28/2024,2:24:20,581.2
12/28/2024,2:34:20,720.7
12/28/2024,2:44:20,120.7
12/28/2024,2:54:20,713.7
12/28/2024,3:04:20,625.0
12/28/2024,3:14:20,132.7
12/28/2024,3:24:20,793.5
12/28/2024,3:34:20,842.1
12/28/2024,3:44:20,891.9
12/28/2024,3:54:20,459.1
12/28/2024,4:04:20,777.4
12/28/2024,4:14:20,241.9
12/28/2024,4:24:20,427.3
12/28/2024,4:34:20,224.8
12/28/2024,4:44:20,270.9
12/28/2024,4:54:20,967.7
12/28/2024,5:04:20,1029
12/28/2024,5:14:20,312.2
12/28/2024,5:24:20,166.7
12/28/2024,5:34:20,142.0
12/28/2024,5:44:20,375.5
12/28/2024,5:54:20,1025
12/28/2024,6:04:20,276.6
12/28/2024,6:14:20,345.3
12/28/2024,6:24:20,568.2
12/28/2024,6:34:20,554.2
12/28/2024,6:44:20,446.2
12/28/2024,6:54:20,915.1
12/28/2024,7:04:20,516.6
12/28/2024,7:14:20,335.2
12/28/2024,7:24:20,239.9
12/28/2024,7:34:20,221.0
12/28/2024,7:44:20,219.7
12/28/2024,7:54:20,223.8
12/28/2024,8:04:20,137.7
12/28/2024,8:14:20,132.3
12/28/2024,8:24:20,121.6
12/28/2024,8:34:20,161.1
12/28/2024,8:44:20,196.4
12/28/2024,8:54:20,181.6
12/28/2024,9:04:20,176.2
12/28/2024,9:14:20,182.7
12/28/2024,9:24:20,207.8
12/28/2024,9:34:20,168.8
12/28/2024,9:44:20,121.3
12/28/2024,9:54:20,107.6
12/28/2024,10:04:20,079.9
12/28/2024,10:14:20,065.9
12/28/2024,10:24:20,050.8
12/28/2024,10:34:20,029.2
12/28/2024,10:44:20,014.6
12/28/2024,10:54:20,004.9
12/28/2024,11:04:20,001.3
12/28/2024,11:14:20,000.3
12/28/2024,11:24:20,000.0
12/28/2024,11:34:20,000.0
12/28/2024,11:44:20,000.0
12/28/2024,11:54:20,000.0
12/28/2024,12:04:20,000.0
12/28/2024,12:14:20,000.0
12/28/2024,12:24:20,000.0
12/28/2024,12:34:20,000.0
12/28/2024,12:44:20,000.0
12/28/2024,12:54:20,000.0
12/28/2024,13:04:20,000.0
12/28/2024,13:14:20,000.0
12/28/2024,13:24:20,000.0
12/28/2024,13:34:20,000.0
12/28/2024,13:44:20,000.0
12/28/2024,13:54:20,000.0
12/28/2024,14:04:20,000.0
12/28/2024,14:14:20,000.0
12/28/2024,14:24:20,000.0
12/28/2024,14:34:20,000.0
12/28/2024,14:44:20,000.0
12/28/2024,14:54:20,000.0
12/28/2024,15:04:20,000.0
12/28/2024,15:14:20,000.0
12/28/2024,15:24:20,000.0
12/28/2024,15:34:20,000.0
12/28/2024,15:44:20,000.0
12/28/2024,15:54:20,000.0
12/28/2024,16:04:20,000.0
12/28/2024,16:14:20,000.0
12/28/2024,16:24:20,000.0
12/28/2024,16:34:20,000.0
12/28/2024,16:44:20,000.0
12/28/2024,16:54:20,000.0
12/28/2024,17:04:20,000.0
12/28/2024,17:14:20,000.0
12/28/2024,17:24:20,000.0
12/28/2024,17:34:20,000.0
12/28/2024,17:44:20,000.0
12/28/2024,17:54:20,000.0
12/28/2024,18:04:20,000.0
12/28/2024,18:14:20,000.0
12/28/2024,18:24:20,000.0
12/28/2024,18:34:20,000.0
12/28/2024,18:44:20,000.0
12/28/2024,18:54:20,000.0
12/28/2024,19:04:20,000.0
12/28/2024,19:14:20,000.0
12/28/2024,19:24:20,000.0
12/28/2024,19:34:20,000.0
12/28/2024,19:44:20,000.0
12/28/2024,19:54:20,000.0
12/28/2024,20:04:20,000.0
12/28/2024,20:14:20,000.0
12/28/2024,20:24:20,000.0
12/28/2024,20:34:20,000.0
12/28/2024,20:44:20,000.0
12/28/2024,20:54:20,000.0
12/28/2024,21:04:20,000.0
12/28/2024,21:14:20,000.0
12/28/2024,21:24:20,000.0
12/28/2024,21:34:20,000.0
12/28/2024,21:44:20,000.0
12/28/2024,21:54:20,000.0
12/28/2024,22:04:20,000.0
12/28/2024,22:14:20,000.0
12/28/2024,22:24:20,000.0
12/28/2024,22:34:20,000.0
12/28/2024,22:44:20,001.2
12/28/2024,22:54:20,004.9
12/28/2024,23:04:20,013.5
12/28/2024,23:14:20,023.3
12/28/2024,23:24:20,032.3
12/28/2024,23:34:20,046.4
12/28/2024,23:44:20,066.9
12/28/2024,23:54:20,088.0
12/29/2024,0:04:20,082.6
12/29/2024,0:14:20,077.3
12/29/2024,0:24:20,096.1
12/29/2024,0:34:20,119.4
12/29/2024,0:44:20,155.1
12/29/2024,0:54:20,161.7
12/29/2024,1:04:20,231.7
12/29/2024,1:14:20,279.6
12/29/2024,1:24:20,331.4
12/29/2024,1:34:20,220.9
12/29/2024,1:44:20,390.8
12/29/2024,1:54:20,380.5
12/29/2024,2:04:20,539.0
12/29/2024,2:14:20,360.8
12/29/2024,2:24:20,204.5
12/29/2024,2:34:20,573.3
12/29/2024,2:44:20,753.6
12/29/2024,2:54:20,362.1
12/29/2024,3:04:20,345.1
12/29/2024,3:14:20,276.0
12/29/2024,3:24:20,335.8
12/29/2024,3:34:20,693.7
12/29/2024,3:44:20,242.4
12/29/2024,3:54:20,397.4
12/29/2024,4:04:20,476.8
12/29/2024,4:14:20,477.5
12/29/2024,4:24:20,469.0
12/29/2024,4:34:20,734.1
12/29/2024,4:44:20,513.0
12/29/2024,4:54:20,469.0
12/29/2024,5:04:20,684.5
12/29/2024,5:14:20,743.3
12/29/2024,5:24:20,544.8
12/29/2024,5:34:20,662.9
12/29/2024,5:44:20,730.8
12/29/2024,5:54:20,706.1
12/29/2024,6:04:20,593.0
12/29/2024,6:14:20,596.4
12/29/2024,6:24:20,495.3
12/29/2024,6:34:20,467.7
12/29/2024,6:44:20,372.2
12/29/2024,6:54:20,334.7
12/29/2024,7:04:20,422.8
12/29/2024,7:14:20,407.9
12/29/2024,7:24:20,395.5
12/29/2024,7:34:20,347.4
12/29/2024,7:44:20,351.8
12/29/2024,7:54:20,324.4
12/29/2024,8:04:20,303.1
12/29/2024,8:14:20,268.8
12/29/2024,8:24:20,278.0
12/29/2024,8:34:20,262.6
12/29/2024,8:44:20,234.3
12/29/2024,8:54:20,206.0
12/29/2024,9:04:20,179.9
12/29/2024,9:14:20,157.0
12/29/2024,9:24:20,137.6
12/29/2024,9:34:20,121.1
12/29/2024,9:44:20,106.2
12/29/2024,9:54:20,092.0
12/29/2024,10:04:20,077.4
12/29/2024,10:14:20,058.7
12/29/2024,10:24:20,042.5
12/29/2024,10:34:20,027.3
12/29/2024,10:44:20,011.8
12/29/2024,10:54:20,005.5
12/29/2024,11:04:20,001.8
12/29/2024,11:14:20,000.4
12/29/2024,11:24:20,000.0
12/29/2024,11:34:20,000.0
12/29/2024,11:44:20,000.0
12/29/2024,11:54:20,000.0
12/29/2024,12:04:20,000.0
12/29/2024,12:14:20,000.0
12/29/2024,12:24:20,000.0
12/29/2024,12:34:20,000.0
12/29/2024,12:44:20,000.0
12/29/2024,12:54:20,000.0
12/29/2024,13:04:20,000.0
12/29/2024,13:14:20,000.0
12/29/2024,13:24:20,000.0
12/29/2024,13:34:20,000.0
12/29/2024,13:44:20,000.0
12/29/2024,13:54:20,000.0
12/29/2024,14:04:20,000.0
12/29/2024,14:14:20,000.0
